event_a,event_b,correlation,mean_abs_delta_db
1782605969288_blow_normal_event1_peak2.116s,1782605969288_blow_normal_event2_peak3.548s,0.895692,7.000795
1782605969288_blow_normal_event1_peak2.116s,1782605969288_blow_normal_event3_peak4.710s,0.822356,9.363113
1782605969288_blow_normal_event1_peak2.116s,1782605956239_blow_close_event1_peak0.926s,0.889364,9.023445
1782605969288_blow_normal_event1_peak2.116s,1782605956239_blow_close_event2_peak2.629s,0.908143,7.208351
1782605969288_blow_normal_event1_peak2.116s,1782605956239_blow_close_event3_peak4.246s,0.886009,7.957739
1782605969288_blow_normal_event1_peak2.116s,1782605976563_blow_normal_event1_peak0.764s,0.828469,9.104991
1782605969288_blow_normal_event1_peak2.116s,1782605976563_blow_normal_event2_peak1.850s,0.834941,8.619571
1782605969288_blow_normal_event1_peak2.116s,1782605976563_blow_normal_event3_peak3.146s,0.896166,8.319250
1782605969288_blow_normal_event1_peak2.116s,1658418658392_blow_close_event1_peak0.904s,0.867511,9.121253
1782605969288_blow_normal_event1_peak2.116s,1658418658392_blow_close_event2_peak2.202s,0.830555,9.652880
1782605969288_blow_normal_event1_peak2.116s,1658418658392_blow_close_event3_peak3.530s,0.752085,12.499336
1782605969288_blow_normal_event1_peak2.116s,1658418658392_blow_close_event4_peak4.943s,0.868661,9.850318
1782605969288_blow_normal_event1_peak2.116s,1658418658392_blow_close_event5_peak6.390s,0.806623,10.076614
1782605969288_blow_normal_event1_peak2.116s,1782608588636_blow_normal_event1_peak3.313s,0.898489,10.642235
1782605969288_blow_normal_event1_peak2.116s,1782608588636_blow_normal_event2_peak4.431s,0.927640,7.229978
1782605969288_blow_normal_event1_peak2.116s,1782608588636_blow_normal_event3_peak5.546s,0.905962,16.271696
1782605969288_blow_normal_event1_peak2.116s,1782608596442_blow_normal_event1_peak1.342s,0.938306,11.765464
1782605969288_blow_normal_event1_peak2.116s,1782608600090_blow_normal_event1_peak1.465s,0.932969,8.498721
1782605969288_blow_normal_event1_peak2.116s,1782608602965_blow_normal_event1_peak1.012s,0.935058,5.917556
1782605969288_blow_normal_event1_peak2.116s,1782608605517_blow_normal_event1_peak1.450s,0.910045,8.180750
1782605969288_blow_normal_event1_peak2.116s,1782608608865_blow_normal_event1_peak1.042s,0.935160,6.960477
1782605969288_blow_normal_event1_peak2.116s,1782608611657_blow_normal_event1_peak1.081s,0.937727,7.787519
1782605969288_blow_normal_event1_peak2.116s,1782608614338_blow_normal_event1_peak0.897s,0.868477,10.373422
1782605969288_blow_normal_event1_peak2.116s,1782608616573_blow_normal_event1_peak1.126s,0.817175,10.097461
1782605969288_blow_normal_event1_peak2.116s,1782608618931_blow_normal_event1_peak0.969s,0.905202,13.467853
1782605969288_blow_normal_event1_peak2.116s,1782608645573_blow_normal_event1_peak1.074s,0.929449,7.103170
1782605969288_blow_normal_event1_peak2.116s,1782608649116_blow_normal_event1_peak0.873s,0.846459,8.399101
1782605969288_blow_normal_event1_peak2.116s,1782608657180_blow_normal_event1_peak1.144s,0.926595,6.591680
1782605969288_blow_normal_event1_peak2.116s,1782608662652_blow_normal_event1_peak1.139s,0.904266,8.148544
1782605969288_blow_normal_event1_peak2.116s,1782608664944_blow_normal_event1_peak0.935s,0.900848,7.927667
1782605969288_blow_normal_event1_peak2.116s,1782608667017_blow_normal_event1_peak1.003s,0.919559,6.617199
1782605969288_blow_normal_event1_peak2.116s,1782608668892_blow_normal_event1_peak1.012s,0.839691,8.579962
1782605969288_blow_normal_event1_peak2.116s,1782608670794_blow_normal_event1_peak0.934s,0.880971,7.939670
1782605969288_blow_normal_event1_peak2.116s,1782608672740_blow_normal_event1_peak0.992s,0.822648,10.580831
1782605969288_blow_normal_event1_peak2.116s,1782608677735_blow_normal_event1_peak0.843s,0.892389,12.313448
1782605969288_blow_normal_event1_peak2.116s,1782608679544_blow_normal_event1_peak0.746s,0.883199,8.246639
1782605969288_blow_normal_event1_peak2.116s,1782605965032_blow_close_event1_peak0.117s,0.386757,20.934553
1782605969288_blow_normal_event1_peak2.116s,1782605965032_blow_close_event2_peak1.201s,0.861379,8.789056
1782605969288_blow_normal_event1_peak2.116s,1782605965032_blow_close_event3_peak2.431s,0.859492,8.529517
1782605969288_blow_normal_event1_peak2.116s,1782606063167_failed_blow_event1_peak5.756s,0.918957,7.165332
1782605969288_blow_normal_event1_peak2.116s,1658418647612_blow_normal_event1_peak0.402s,0.810318,9.728180
1782605969288_blow_normal_event1_peak2.116s,1658418647612_blow_normal_event2_peak2.207s,0.773899,10.310762
1782605969288_blow_normal_event1_peak2.116s,1658418647612_blow_normal_event3_peak3.536s,0.781666,10.200563
1782605969288_blow_normal_event1_peak2.116s,1658418647612_blow_normal_event4_peak4.765s,0.854489,9.013844
1782605969288_blow_normal_event1_peak2.116s,1658418647612_blow_normal_event5_peak7.402s,0.894364,8.213283
1782605969288_blow_normal_event1_peak2.116s,1782608426130_failed_blow_event1_peak0.018s,0.828314,11.099191
1782605969288_blow_normal_event1_peak2.116s,1782608426130_failed_blow_event2_peak1.056s,0.804985,11.773579
1782605969288_blow_normal_event1_peak2.116s,1782608432269_failed_blow_event1_peak0.799s,0.674614,15.022547
1782605969288_blow_normal_event1_peak2.116s,1782608432269_failed_blow_event2_peak1.919s,0.637262,17.821393
1782605969288_blow_normal_event1_peak2.116s,1782608432269_failed_blow_event3_peak2.872s,0.381325,17.827583
1782605969288_blow_normal_event1_peak2.116s,1782608436951_failed_blow_event1_peak1.043s,0.294560,19.866818
1782605969288_blow_normal_event1_peak2.116s,1782608436951_failed_blow_event2_peak1.703s,-0.110718,20.618624
1782605969288_blow_normal_event1_peak2.116s,1782608436951_failed_blow_event3_peak2.458s,0.940633,7.866864
1782605969288_blow_normal_event1_peak2.116s,1782608436951_failed_blow_event4_peak3.693s,0.491253,17.306358
1782605969288_blow_normal_event1_peak2.116s,1782608441920_failed_blow_event1_peak10.579s,0.725620,23.167155
1782605969288_blow_normal_event1_peak2.116s,1782608453936_failed_blow_event1_peak2.174s,0.206262,26.548912
1782605969288_blow_normal_event1_peak2.116s,1782608453936_failed_blow_event2_peak4.632s,0.821793,11.471022
1782605969288_blow_normal_event1_peak2.116s,1782608460487_failed_blow_event1_peak3.184s,0.409816,17.100983
1782605969288_blow_normal_event1_peak2.116s,1782608460487_failed_blow_event2_peak5.372s,0.348507,17.220399
1782605969288_blow_normal_event1_peak2.116s,1782608460487_failed_blow_event3_peak7.802s,0.675115,15.769625
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event1_peak1.335s,0.546821,15.049923
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event2_peak3.676s,0.321497,17.963137
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event3_peak6.212s,-0.731080,23.863424
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event4_peak8.373s,-0.273918,19.808814
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event5_peak9.854s,-0.607957,21.832117
1782605969288_blow_normal_event1_peak2.116s,1782608469432_failed_blow_event6_peak11.059s,-0.355171,20.349212
1782605969288_blow_normal_event1_peak2.116s,1782608144876_failed_blow_event1_peak1.226s,0.623941,15.125197
1782605969288_blow_normal_event1_peak2.116s,1782608147589_failed_blow_event1_peak1.373s,0.245368,18.622689
1782605969288_blow_normal_event1_peak2.116s,1782608150662_failed_blow_event1_peak1.433s,0.534263,15.776263
1782605969288_blow_normal_event1_peak2.116s,1782608150662_failed_blow_event2_peak2.805s,0.798705,10.390620
1782605969288_blow_normal_event1_peak2.116s,1782608150662_failed_blow_event3_peak4.547s,0.503398,15.102467
1782605969288_blow_normal_event1_peak2.116s,1782608150662_failed_blow_event4_peak7.191s,-0.832871,29.316378
1782605969288_blow_normal_event1_peak2.116s,1782608160173_failed_blow_event1_peak1.211s,-0.238435,22.272878
1782605969288_blow_normal_event1_peak2.116s,1782608163117_failed_blow_event1_peak2.418s,-0.358177,23.082838
1782605969288_blow_normal_event1_peak2.116s,1782608163117_failed_blow_event2_peak3.891s,-0.607018,23.184064
1782605969288_blow_normal_event1_peak2.116s,1782608163117_failed_blow_event3_peak5.526s,0.218687,20.555991
1782605969288_blow_normal_event1_peak2.116s,1782608178054_failed_blow_event1_peak4.359s,0.084039,22.866988
1782605969288_blow_normal_event1_peak2.116s,1782608178054_failed_blow_event2_peak5.668s,-0.038170,22.254906
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event1_peak1.100s,0.222297,18.576233
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event2_peak1.558s,0.279307,17.637521
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event3_peak2.068s,-0.094586,22.714078
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event4_peak2.942s,0.145277,19.868922
1782605969288_blow_normal_event1_peak2.116s,1782608191941_failed_blow_event1_peak9.470s,0.875242,17.398138
1782605969288_blow_normal_event1_peak2.116s,1782608203595_failed_blow_event1_peak0.995s,-0.635341,23.540480
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event1_peak0.879s,0.245155,18.540858
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event2_peak2.243s,0.203027,18.343520
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event3_peak3.127s,0.799635,11.840584
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event4_peak3.438s,0.491168,16.013607
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event5_peak4.624s,0.407233,17.887517
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event6_peak5.691s,0.614803,14.142112
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event7_peak7.187s,0.495417,15.508878
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event8_peak8.017s,0.772590,10.857552
1782605969288_blow_normal_event1_peak2.116s,1782608683432_failed_blow_event1_peak0.850s,0.916329,8.611813
1782605969288_blow_normal_event2_peak3.548s,1782605969288_blow_normal_event3_peak4.710s,0.922213,5.897254
