frequency_hz,1782605969288_blow_normal_event1_peak2.116s_dbfs,1782605969288_blow_normal_event2_peak3.548s_dbfs,1782605969288_blow_normal_event3_peak4.710s_dbfs,1782605956239_blow_close_event1_peak0.926s_dbfs,1782605956239_blow_close_event2_peak2.629s_dbfs,1782605956239_blow_close_event3_peak4.246s_dbfs,1782605976563_blow_normal_event1_peak0.764s_dbfs,1782605976563_blow_normal_event2_peak1.850s_dbfs,1782605976563_blow_normal_event3_peak3.146s_dbfs,1658418658392_blow_close_event1_peak0.904s_dbfs,1658418658392_blow_close_event2_peak2.202s_dbfs,1658418658392_blow_close_event3_peak3.530s_dbfs,1658418658392_blow_close_event4_peak4.943s_dbfs,1658418658392_blow_close_event5_peak6.390s_dbfs,1782608588636_blow_normal_event1_peak3.313s_dbfs,1782608588636_blow_normal_event2_peak4.431s_dbfs,1782608588636_blow_normal_event3_peak5.546s_dbfs,1782608596442_blow_normal_event1_peak1.342s_dbfs,1782608600090_blow_normal_event1_peak1.465s_dbfs,1782608602965_blow_normal_event1_peak1.012s_dbfs,1782608605517_blow_normal_event1_peak1.450s_dbfs,1782608608865_blow_normal_event1_peak1.042s_dbfs,1782608611657_blow_normal_event1_peak1.081s_dbfs,1782608614338_blow_normal_event1_peak0.897s_dbfs,1782608616573_blow_normal_event1_peak1.126s_dbfs,1782608618931_blow_normal_event1_peak0.969s_dbfs,1782608645573_blow_normal_event1_peak1.074s_dbfs,1782608649116_blow_normal_event1_peak0.873s_dbfs,1782608657180_blow_normal_event1_peak1.144s_dbfs,1782608662652_blow_normal_event1_peak1.139s_dbfs,1782608664944_blow_normal_event1_peak0.935s_dbfs,1782608667017_blow_normal_event1_peak1.003s_dbfs,1782608668892_blow_normal_event1_peak1.012s_dbfs,1782608670794_blow_normal_event1_peak0.934s_dbfs,1782608672740_blow_normal_event1_peak0.992s_dbfs,1782608677735_blow_normal_event1_peak0.843s_dbfs,1782608679544_blow_normal_event1_peak0.746s_dbfs,1782605969288_blow_normal_event1_peak2.116s_normalized_db,1782605969288_blow_normal_event2_peak3.548s_normalized_db,1782605969288_blow_normal_event3_peak4.710s_normalized_db,1782605956239_blow_close_event1_peak0.926s_normalized_db,1782605956239_blow_close_event2_peak2.629s_normalized_db,1782605956239_blow_close_event3_peak4.246s_normalized_db,1782605976563_blow_normal_event1_peak0.764s_normalized_db,1782605976563_blow_normal_event2_peak1.850s_normalized_db,1782605976563_blow_normal_event3_peak3.146s_normalized_db,1658418658392_blow_close_event1_peak0.904s_normalized_db,1658418658392_blow_close_event2_peak2.202s_normalized_db,1658418658392_blow_close_event3_peak3.530s_normalized_db,1658418658392_blow_close_event4_peak4.943s_normalized_db,1658418658392_blow_close_event5_peak6.390s_normalized_db,1782608588636_blow_normal_event1_peak3.313s_normalized_db,1782608588636_blow_normal_event2_peak4.431s_normalized_db,1782608588636_blow_normal_event3_peak5.546s_normalized_db,1782608596442_blow_normal_event1_peak1.342s_normalized_db,1782608600090_blow_normal_event1_peak1.465s_normalized_db,1782608602965_blow_normal_event1_peak1.012s_normalized_db,1782608605517_blow_normal_event1_peak1.450s_normalized_db,1782608608865_blow_normal_event1_peak1.042s_normalized_db,1782608611657_blow_normal_event1_peak1.081s_normalized_db,1782608614338_blow_normal_event1_peak0.897s_normalized_db,1782608616573_blow_normal_event1_peak1.126s_normalized_db,1782608618931_blow_normal_event1_peak0.969s_normalized_db,1782608645573_blow_normal_event1_peak1.074s_normalized_db,1782608649116_blow_normal_event1_peak0.873s_normalized_db,1782608657180_blow_normal_event1_peak1.144s_normalized_db,1782608662652_blow_normal_event1_peak1.139s_normalized_db,1782608664944_blow_normal_event1_peak0.935s_normalized_db,1782608667017_blow_normal_event1_peak1.003s_normalized_db,1782608668892_blow_normal_event1_peak1.012s_normalized_db,1782608670794_blow_normal_event1_peak0.934s_normalized_db,1782608672740_blow_normal_event1_peak0.992s_normalized_db,1782608677735_blow_normal_event1_peak0.843s_normalized_db,1782608679544_blow_normal_event1_peak0.746s_normalized_db
60.000000,-35.726778,-49.167136,-65.458973,-55.404103,-53.648699,-51.028959,-52.808158,-53.233947,-60.797638,-53.776168,-56.117907,-62.747057,-66.586958,-54.203868,-39.835434,-39.053918,-30.012188,-29.766707,-37.034899,-38.768599,-44.125455,-36.690962,-39.670839,-33.370220,-55.366758,-43.708601,-35.726676,-56.856276,-38.321683,-50.743363,-48.621264,-48.258485,-52.461902,-51.334565,-64.144388,-67.456717,-54.259807,-7.504715,-6.758302,-16.854011,-20.760662,-21.014203,-15.038722,-5.495505,-9.527108,-23.411637,-3.260229,0.000000,0.000000,-3.059217,0.000000,-7.778248,-2.074149,0.000000,0.000000,-0.340032,-4.796448,-7.428637,-3.501444,-4.577187,0.000000,-13.592333,-6.206227,-11.121334,-11.745537,-9.494292,-23.422782,-16.235719,-8.290435,-5.007085,-22.439101,-19.114098,-22.746125,-10.518488
66.510276,-36.597643,-51.889605,-56.789661,-54.785928,-54.773355,-48.868223,-48.728867,-54.450795,-48.122231,-53.777535,-60.641303,-85.937412,-72.152122,-54.360809,-36.494001,-36.979769,-32.820033,-31.255884,-45.118187,-36.960513,-37.071455,-35.677286,-39.994469,-37.364275,-42.048701,-43.321084,-38.917799,-48.200258,-43.506211,-51.950127,-52.553635,-47.670984,-50.983643,-58.761866,-53.316981,-62.499462,-55.625388,-8.375581,-9.480771,-8.184698,-20.142487,-22.138859,-12.877986,-1.416215,-10.743956,-10.736230,-3.261596,-4.523396,-23.190355,-8.624382,-0.156941,-4.436815,0.000000,-2.807844,-1.489177,-8.423319,-2.988362,-0.374638,-2.487768,-4.900817,-3.994056,-0.274276,-5.818710,-14.312458,-3.089519,-14.678819,-24.629546,-20.168090,-7.702934,-3.528825,-29.866401,-8.286692,-17.788870,-11.884070
73.726946,-36.597643,-51.889605,-56.789661,-54.785928,-54.773355,-48.868223,-48.728867,-54.450795,-48.122231,-53.777535,-60.641303,-85.937412,-72.152122,-54.360809,-36.494001,-36.979769,-32.820033,-31.255884,-45.118187,-36.960513,-37.071455,-35.677286,-39.994469,-37.364275,-42.048701,-43.321084,-38.917799,-48.200258,-43.506211,-51.950127,-52.553635,-47.670984,-50.983643,-58.761866,-53.316981,-62.499462,-55.625388,-8.375581,-9.480771,-8.184698,-20.142487,-22.138859,-12.877986,-1.416215,-10.743956,-10.736230,-3.261596,-4.523396,-23.190355,-8.624382,-0.156941,-4.436815,0.000000,-2.807844,-1.489177,-8.423319,-2.988362,-0.374638,-2.487768,-4.900817,-3.994056,-0.274276,-5.818710,-14.312458,-3.089519,-14.678819,-24.629546,-20.168090,-7.702934,-3.528825,-29.866401,-8.286692,-17.788870,-11.884070
81.726658,-39.234629,-53.234312,-53.573179,-49.311886,-41.780349,-41.818627,-49.462717,-60.326181,-44.590782,-50.515940,-69.104571,-71.453905,-66.972351,-59.553512,-36.158697,-43.775287,-36.231182,-32.817936,-38.347343,-37.192808,-36.696817,-37.332935,-43.794784,-37.953069,-41.774425,-48.695855,-41.883608,-45.110739,-46.292580,-55.295335,-54.503306,-45.701988,-51.626749,-54.937586,-50.968314,-57.249849,-52.027960,-11.012566,-10.825478,-4.968217,-14.668446,-9.145853,-5.828390,-2.150064,-16.619342,-7.204781,0.000000,-12.986664,-8.706848,-3.444611,-5.349644,-4.101511,-6.795518,-6.218993,-3.051229,-1.652475,-3.220657,0.000000,-4.143417,-8.701132,-4.582849,0.000000,-11.193481,-17.278266,0.000000,-17.465188,-27.974754,-22.117762,-5.733939,-4.171931,-26.042122,-5.938025,-12.539257,-8.286642
90.594376,-32.870850,-44.130106,-55.608847,-45.377794,-41.164950,-35.990237,-53.299543,-48.739877,-43.486379,-51.984301,-63.383772,-72.490013,-63.527741,-60.695033,-34.712380,-40.993673,-40.719643,-39.852269,-38.041969,-33.972151,-42.678671,-40.351193,-36.776560,-37.485503,-55.315100,-57.063071,-49.822642,-54.909250,-31.215885,-40.905701,-38.309791,-47.818718,-47.454817,-42.469806,-47.923066,-65.499753,-51.580157,-4.648788,-1.721272,-7.003884,-10.734354,-8.530454,0.000000,-5.986891,-5.033038,-6.100378,-1.468361,-7.265865,-9.742957,0.000000,-6.491165,-2.655194,-4.013904,-10.707454,-10.085563,-1.347101,0.000000,-5.981854,-7.161675,-1.682907,-4.115283,-13.540675,-19.560698,-25.217301,-9.798511,-2.388493,-13.585119,-5.924246,-7.850669,0.000000,-13.574342,-2.892777,-20.789160,-7.838839
100.424282,-31.753115,-46.732187,-56.966236,-40.298556,-36.728685,-41.147989,-47.312653,-47.018830,-42.229542,-55.134960,-66.322053,-67.339460,-64.502005,-60.871620,-33.585014,-42.084096,-40.195123,-40.172144,-38.346977,-36.014682,-43.683193,-35.695963,-43.839630,-50.432168,-51.219880,-49.187309,-42.981097,-65.887187,-37.981536,-40.131581,-36.595975,-48.597621,-49.876923,-41.483976,-45.049001,-55.873685,-58.364666,-3.531053,-4.323353,-8.361274,-5.655115,-4.094189,-5.157752,0.000000,-3.311991,-4.843541,-4.619021,-10.204146,-4.592403,-0.974264,-6.667752,-1.527828,-5.104327,-10.182935,-10.405437,-1.652109,-2.042531,-6.986376,-2.506445,-8.745977,-17.061948,-9.445454,-11.684935,-18.375755,-20.776448,-9.154144,-12.811000,-4.210431,-8.629572,-2.422105,-12.588512,-0.018711,-11.163092,-14.623348
111.320777,-40.742466,-45.813571,-60.398276,-36.572747,-37.573887,-44.133942,-48.669345,-45.781362,-39.844874,-52.695711,-63.830995,-62.785167,-66.948311,-66.118118,-32.057186,-40.090476,-40.748741,-37.679093,-36.694868,-45.711042,-38.515999,-36.666698,-48.112410,-43.927950,-47.818239,-43.940648,-45.715101,-53.005404,-48.024706,-38.966521,-34.691545,-49.782082,-54.170258,-37.979184,-46.045467,-50.191901,-50.388484,-12.520404,-3.404737,-11.793314,-1.929306,-4.939391,-8.143705,-1.356692,-2.074522,-2.458873,-2.179771,-7.713089,-0.038111,-3.420570,-11.914250,0.000000,-3.110707,-10.736552,-7.912386,0.000000,-11.738891,-1.819181,-3.477180,-13.018758,-10.557731,-6.043814,-6.438275,-21.109760,-7.894665,-19.197314,-11.645940,-2.306001,-9.814032,-6.715440,-9.083719,-1.015177,-5.481308,-6.647166
123.399593,-32.877456,-42.408834,-52.007714,-39.345934,-55.175267,-45.296584,-52.791229,-43.706839,-44.109314,-54.492346,-58.037009,-67.584388,-71.395150,-76.455629,-35.497390,-40.459447,-42.558758,-32.732275,-43.490084,-40.726272,-38.580971,-33.951514,-38.135599,-53.212012,-46.659027,-42.697626,-32.932191,-50.628198,-45.591788,-50.411366,-35.101078,-51.287017,-50.535655,-32.475901,-47.982173,-44.710592,-46.843447,-4.655394,0.000000,-3.402752,-4.702494,-22.540771,-9.306347,-5.478576,0.000000,-6.723313,-3.976406,-1.919102,-4.837331,-7.867409,-22.251760,-3.440204,-3.479678,-12.546569,-2.965568,-6.795216,-6.754121,-1.884153,-0.761996,-3.041946,-19.841793,-4.884602,-5.195252,-8.326849,-5.517459,-16.764396,-23.090784,-2.715533,-11.318968,-3.080837,-3.580436,-2.951884,0.000000,-3.102129
136.789015,-40.101268,-52.727944,-51.661340,-34.643441,-32.634496,-44.867920,-59.213322,-50.786044,-54.221870,-53.308066,-62.090131,-67.134707,-65.450185,-74.316875,-35.674207,-42.240846,-51.916030,-30.840412,-50.014771,-40.029173,-41.000725,-35.041630,-41.235701,-39.506283,-44.314364,-41.254621,-28.553274,-47.042361,-46.718678,-34.523992,-42.034989,-42.144464,-50.683949,-31.172385,-45.030289,-45.038410,-43.741318,-11.879205,-10.319110,-3.056378,0.000000,0.000000,-8.877683,-11.900670,-7.079205,-16.835869,-2.792126,-5.972224,-4.387651,-1.922444,-20.113007,-3.617021,-5.261077,-21.903842,-1.073705,-13.319903,-6.057022,-4.303908,-1.852112,-6.142048,-6.136063,-2.539938,-3.752247,-3.947932,-1.931622,-17.891286,-7.203411,-9.649444,-2.176415,-3.229131,-2.276921,0.000000,-0.327818,0.000000
151.631252,-44.269264,-47.195985,-51.514152,-36.255285,-35.730154,-43.762606,-62.212377,-50.050412,-40.209750,-61.175270,-61.177990,-68.052078,-67.110434,-70.871588,-38.064402,-44.062319,-39.874597,-34.096232,-37.806041,-36.380980,-41.369471,-51.405599,-43.585158,-39.766598,-44.760545,-37.502374,-24.605342,-51.384696,-30.184885,-39.806784,-41.175190,-41.831644,-49.635285,-28.895464,-45.438870,-50.844483,-46.563441,-16.047202,-4.787151,-2.909190,-1.611844,-3.095658,-7.772369,-14.899725,-6.343572,-2.823749,-10.659330,-5.060083,-5.305021,-3.582693,-16.667719,-6.007215,-7.082550,-9.862408,-4.329525,-1.111173,-2.408829,-4.672654,-18.216081,-8.491505,-6.396379,-2.986120,0.000000,0.000000,-6.273958,-1.357493,-12.486203,-8.789645,-1.863594,-2.180468,0.000000,-0.408581,-6.133891,-2.822123
