frequency_hz,min_normalized_db,p10_normalized_db,mean_normalized_db,p90_normalized_db,max_normalized_db,event_count
60.000000,-23.422782,-21.584162,-9.273352,0.000000,0.000000,37
66.510276,-29.866401,-20.956398,-9.129337,-0.999584,0.000000,37
73.726946,-29.866401,-20.956398,-9.129337,-0.999584,0.000000,37
81.726658,-27.974754,-17.353035,-8.489731,-0.991485,0.000000,37
90.594376,-25.217301,-13.578653,-7.174032,-0.808261,0.000000,37
100.424282,-20.776448,-13.535939,-7.255548,-1.602397,0.000000,37
111.320777,-21.109760,-12.156712,-6.747317,-1.220086,0.000000,37
123.399593,-23.090784,-17.995355,-6.748704,-1.435291,0.000000,37
136.789015,-21.903842,-14.726289,-6.208877,-0.196691,0.000000,37
151.631252,-18.216081,-13.451612,-5.822857,-0.830136,0.000000,37
168.083939,-28.523235,-13.593963,-7.173991,-1.359528,0.000000,37
186.321818,-24.648623,-14.738530,-8.187815,-2.819506,0.000000,37
206.538591,-20.480129,-14.930481,-8.737978,-1.992793,0.000000,37
228.948977,-27.067610,-24.191811,-11.618058,-2.560856,0.000000,37
253.790992,-34.016838,-23.694501,-12.790927,-3.411803,0.000000,37
281.328480,-29.454838,-22.609538,-13.758978,-7.571664,-1.030006,37
311.853912,-40.424118,-30.342887,-16.085106,-6.631147,0.000000,37
345.691494,-32.276184,-25.434775,-17.375994,-8.919123,-1.858867,37
383.200608,-40.906143,-29.538510,-19.547705,-9.724710,-2.337590,37
424.779634,-46.652552,-31.922062,-21.415776,-13.137890,-2.950624,37
470.870175,-43.100635,-34.847043,-22.541581,-12.919661,-4.030699,37
521.961751,-44.335955,-34.782726,-23.957548,-14.684832,-4.916593,37
578.596998,-47.703200,-38.483571,-26.151495,-15.397933,-11.183983,37
641.377430,-45.421005,-42.085393,-29.116869,-19.110969,-16.642878,37
710.969826,-47.291627,-39.689768,-29.151787,-19.152571,-14.710051,37
788.113318,-63.073591,-51.405284,-35.122584,-19.869281,-17.012299,37
873.627232,-49.705412,-47.108662,-35.215623,-23.359233,-21.167272,37
968.419798,-71.329874,-53.629130,-37.847083,-26.309752,-20.375627,37
1073.497794,-57.719134,-51.019915,-37.792939,-29.215799,-19.306597,37
1189.977234,-60.608114,-53.439851,-40.573475,-27.284235,-24.201209,37
1319.095229,-61.354019,-53.715402,-39.836221,-27.069900,-19.135736,37
1462.223119,-66.849782,-56.037292,-41.861044,-29.063503,-20.315476,37
1620.881042,-73.375618,-64.006727,-45.850915,-29.254143,-17.960902,37
1796.754079,-68.336269,-59.348072,-44.978588,-30.546402,-26.835794,37
1991.710147,-76.105971,-67.714161,-49.282769,-31.973620,-24.278157,37
2207.819845,-77.662138,-67.531230,-51.391638,-38.133645,-27.169364,37
2447.378437,-64.757175,-62.011733,-47.756692,-34.349987,-24.682967,37
2712.930236,-89.375491,-67.126693,-51.637268,-35.815973,-31.965029,37
3007.295626,-74.100668,-69.129523,-54.942707,-42.953310,-35.865592,37
3333.601011,-81.831614,-69.800275,-55.812847,-43.171526,-33.131230,37
3695.312030,-76.532525,-70.587660,-54.922728,-38.300669,-29.245604,37
4096.270355,-80.404640,-75.802521,-60.802955,-47.584915,-31.632697,37
4540.734500,-72.302929,-68.643738,-55.082160,-43.005779,-25.518410,37
5033.425045,-74.608936,-71.593198,-56.610421,-44.750944,-39.958818,37
5579.574777,-76.228477,-69.622349,-58.043954,-49.301967,-38.753851,37
6184.984264,-83.581456,-74.943459,-58.010718,-41.880539,-25.334664,37
6856.083460,-83.037854,-73.705027,-56.261180,-41.913219,-34.293788,37
7600.000000,-89.612709,-70.489614,-54.463845,-42.666236,-26.438078,37
