position_0_to_1,1782605969288_blow_normal_event1_2.100s_normalized_db,1782605969288_blow_normal_event2_3.560s_normalized_db,1782605969288_blow_normal_event3_4.750s_normalized_db,1782605956239_blow_close_event1_0.920s_normalized_db,1782605956239_blow_close_event2_2.640s_normalized_db,1782605956239_blow_close_event3_4.290s_normalized_db,1782605976563_blow_normal_event1_0.760s_normalized_db,1782605976563_blow_normal_event2_1.880s_normalized_db,1782605976563_blow_normal_event3_3.130s_normalized_db,1658418658392_blow_close_event1_0.950s_normalized_db,1658418658392_blow_close_event2_2.220s_normalized_db,1658418658392_blow_close_event3_3.550s_normalized_db,1658418658392_blow_close_event4_4.900s_normalized_db,1658418658392_blow_close_event5_6.400s_normalized_db,1782608588636_blow_normal_event1_3.340s_normalized_db,1782608588636_blow_normal_event2_4.420s_normalized_db,1782608588636_blow_normal_event3_5.540s_normalized_db,1782608596442_blow_normal_event1_1.300s_normalized_db,1782608600090_blow_normal_event1_1.440s_normalized_db,1782608602965_blow_normal_event1_1.010s_normalized_db,1782608605517_blow_normal_event1_1.460s_normalized_db,1782608608865_blow_normal_event1_1.090s_normalized_db,1782608611657_blow_normal_event1_1.070s_normalized_db,1782608614338_blow_normal_event1_0.970s_normalized_db,1782608616573_blow_normal_event1_1.140s_normalized_db,1782608618931_blow_normal_event1_0.940s_normalized_db,1782608645573_blow_normal_event1_1.080s_normalized_db,1782608649116_blow_normal_event1_0.860s_normalized_db,1782608657180_blow_normal_event1_1.130s_normalized_db,1782608662652_blow_normal_event1_1.150s_normalized_db,1782608664944_blow_normal_event1_0.970s_normalized_db,1782608667017_blow_normal_event1_1.030s_normalized_db,1782608668892_blow_normal_event1_1.050s_normalized_db,1782608670794_blow_normal_event1_0.950s_normalized_db,1782608672740_blow_normal_event1_1.010s_normalized_db,1782608677735_blow_normal_event1_0.840s_normalized_db,1782608679544_blow_normal_event1_0.790s_normalized_db
0.000000,-67.857209,-41.726554,-44.595217,-46.126182,-61.925733,-61.083896,-46.718631,-52.285011,-55.929731,-25.763594,-15.144884,-11.006773,-10.744304,-10.654045,-37.089782,-38.038771,-43.129449,-41.344831,-36.686978,-36.644402,-34.677527,-39.702168,-34.949284,-40.011552,-27.956513,-31.955027,-70.209283,-49.677931,-64.960211,-61.199855,-67.089308,-28.499483,-21.817226,-64.883352,-22.986386,-22.424694,-48.927930
0.015873,-67.671866,-36.552656,-44.075105,-55.112276,-61.972811,-60.850058,-45.410465,-52.377664,-56.274060,-23.542668,-17.832147,-11.386245,-11.046137,-8.539961,-35.703211,-36.062930,-40.445350,-39.722008,-36.842330,-38.066364,-38.324940,-38.307235,-35.765432,-39.857153,-30.398933,-28.035447,-70.024694,-49.305763,-65.368371,-59.254905,-67.327265,-26.501393,-19.144745,-64.898371,-20.330894,-14.702949,-48.082211
0.031746,-67.625293,-33.033340,-42.398887,-55.112276,-61.914043,-60.998499,-42.616349,-52.239416,-54.328165,-21.940851,-17.184570,-11.414343,-10.155340,-8.433003,-35.653379,-33.458469,-40.002461,-38.858172,-36.011129,-39.244153,-38.753584,-39.436728,-35.753640,-37.683545,-30.435999,-25.151899,-69.809844,-49.316266,-65.486189,-56.130072,-67.521799,-24.770060,-18.416940,-65.135411,-17.939430,-13.200884,-46.958683
0.047619,-67.159041,-30.390452,-41.055013,-52.868391,-61.566422,-61.443341,-39.774580,-52.365974,-53.795053,-22.044561,-15.083636,-10.094944,-9.895980,-8.297577,-36.779627,-30.791953,-40.568191,-38.292749,-38.691541,-38.633600,-39.260275,-40.309924,-35.944239,-37.245258,-29.936560,-25.020808,-69.929732,-49.207233,-65.357817,-53.638927,-67.204015,-23.844547,-17.605182,-65.088004,-17.096858,-10.025622,-45.311116
0.063492,-67.312555,-26.946567,-38.297266,-50.928064,-61.518196,-61.022727,-38.213470,-52.377664,-49.824729,-20.323504,-14.246994,-11.237326,-9.698073,-9.114943,-37.332538,-30.320280,-39.026899,-39.124724,-38.177195,-36.113927,-39.409596,-40.948047,-35.842042,-36.131634,-29.734329,-22.700343,-69.656703,-49.433506,-65.469933,-42.952348,-67.094457,-23.101560,-16.977899,-65.374932,-15.807530,-9.095598,-44.133659
0.079365,-67.550660,-24.965641,-36.638627,-48.992003,-60.068349,-61.047091,-35.697859,-52.514414,-47.403877,-20.796058,-12.289017,-10.999723,-8.976269,-9.023646,-36.794527,-30.990457,-36.942388,-41.634009,-40.908558,-36.927483,-43.058559,-41.233121,-33.039868,-29.720894,-28.915668,-17.878848,-69.783052,-49.232946,-65.228012,-38.717783,-66.868603,-22.001757,-16.604147,-65.130118,-15.436891,-9.131599,-43.080119
0.095238,-67.875573,-22.565839,-34.696207,-45.185484,-59.852460,-60.950443,-33.924489,-51.991495,-44.176071,-19.632168,-11.572107,-8.517043,-7.613308,-7.469597,-37.074489,-33.517701,-36.857664,-43.393962,-41.384190,-36.787846,-40.919910,-41.663536,-32.417790,-27.592456,-29.250299,-14.341797,-69.661895,-49.243274,-65.400187,-37.019701,-67.120293,-20.929933,-15.466288,-64.387960,-15.711424,-7.962117,-41.305810
0.111111,-67.195602,-21.853375,-33.315271,-35.830391,-59.812699,-59.843759,-31.511879,-48.208166,-40.115414,-19.349888,-11.014618,-8.505782,-7.512533,-6.974553,-35.859821,-33.857630,-35.893101,-45.216242,-39.535222,-38.570384,-39.812266,-40.434080,-30.457576,-24.163699,-29.053634,-12.349862,-69.880287,-48.704262,-65.540818,-35.491651,-66.580071,-20.299915,-14.682048,-62.478032,-15.131291,-9.197477,-38.860695
0.126984,-66.041668,-21.229041,-29.967809,-34.792489,-59.025087,-42.039388,-28.096600,-46.147123,-35.885833,-17.906002,-10.761273,-9.153549,-7.607591,-7.652123,-37.046896,-31.485867,-35.751442,-45.292975,-36.027579,-39.400582,-40.874668,-39.700427,-28.672545,-23.952051,-27.625764,-10.638321,-69.620533,-48.982418,-65.416183,-34.334253,-66.018495,-19.334219,-14.156552,-59.045196,-14.448363,-8.005384,-37.756195
0.142857,-61.217167,-19.379314,-26.555633,-33.110631,-56.124202,-38.729042,-24.846091,-44.501589,-32.720970,-12.927202,-9.324968,-9.235767,-7.815860,-7.623613,-38.939471,-30.954884,-35.032511,-43.739175,-35.906172,-36.611212,-38.141224,-38.764654,-29.698906,-22.537806,-26.664716,-8.624342,-69.836802,-48.587121,-65.486189,-34.107149,-64.167378,-19.097724,-13.985068,-52.242949,-13.414326,-6.071735,-34.454064
