archive,clip,label,manufacturer,model,sdk,sample_rate,duration_s,window_count,rms_p50,rms_p90,peak_p90,zcr_p50,centroid_p50,flatness_p50,high_ratio_p50,active_ms_rms_gt_0_03,active_ms_rms_gt_0_06,expected_positive,predicted_positive,outcome
blowaway-recording-lab-1782606070941.zip,1782605752969_ambient-quiet.wav,ambient-quiet,Sony,XQ-ES54,35,16000,10.44,261,4.8e-05,5.1e-05,0.000183,0.308294,854.030774,0.421054,0.035569,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605773410_speech.wav,speech,Sony,XQ-ES54,35,16000,10.9,272,0.001552,0.007,0.022733,0.283255,600.522826,0.112485,0.013018,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605793223_speech.wav,speech,Sony,XQ-ES54,35,16000,14.58,364,0.007926,0.026958,0.082001,0.089202,506.878184,0.030128,0.001926,960.0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605824383_ambient-noisy.wav,ambient-noisy,Sony,XQ-ES54,35,16000,15.64,391,6e-05,8.3e-05,0.000275,0.29421,881.491176,0.424211,0.029127,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605849845_ambient-noisy.wav,ambient-noisy,Sony,XQ-ES54,35,16000,20.0,500,0.000143,0.000955,0.003616,0.361502,1501.466529,0.420343,0.064158,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605880860_ambient-noisy.wav,ambient-noisy,Sony,XQ-ES54,35,16000,20.0,500,7.1e-05,8.5e-05,0.000308,0.363067,1159.995681,0.457898,0.05733,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605909168_speech.wav,speech,Sony,XQ-ES54,35,16000,16.4,410,0.010596,0.034799,0.107629,0.087637,481.901442,0.020457,0.000378,2200.0,200.0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605930550_ambient-noisy.wav,ambient-noisy,Sony,XQ-ES54,35,16000,12.34,308,0.010222,0.039279,0.132645,0.140845,439.265401,0.027982,0.001044,2280.0,440.0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782605956239_blow-close.wav,blow-close,Sony,XQ-ES54,35,16000,5.34,133,4.7e-05,0.009251,0.028485,0.303599,821.748542,0.399595,0.03302,160.0,0,True,True,TP
blowaway-recording-lab-1782606070941.zip,1782605965032_blow-close.wav,blow-close,Sony,XQ-ES54,35,16000,2.96,74,4.8e-05,0.010197,0.029996,0.309077,753.857036,0.352496,0.023977,0,0,True,True,TP
blowaway-recording-lab-1782606070941.zip,1782605969288_blow-normal.wav,blow-normal,Sony,XQ-ES54,35,16000,5.84,146,4.7e-05,0.002147,0.007233,0.309859,777.815015,0.423451,0.026721,120.0,80.0,True,True,TP
blowaway-recording-lab-1782606070941.zip,1782605976563_blow-normal.wav,blow-normal,Sony,XQ-ES54,35,16000,3.94,98,4.7e-05,0.00657,0.0172,0.301252,776.59746,0.38223,0.023622,0,0,True,True,TP
blowaway-recording-lab-1782606070941.zip,1782605981189_blow-far.wav,blow-far,Sony,XQ-ES54,35,16000,7.62,190,4.8e-05,0.000516,0.001959,0.312207,792.363367,0.416724,0.030324,0,0,False,False,TN
blowaway-recording-lab-1782606070941.zip,1782606053780_failed-blow.wav,failed-blow,Sony,XQ-ES54,35,16000,8.72,218,7.9e-05,0.165538,0.426144,0.264476,499.845922,0.202652,0.004778,3760.0,3560.0,True,True,TP
blowaway-recording-lab-1782606070941.zip,1782606063167_failed-blow.wav,failed-blow,Sony,XQ-ES54,35,16000,6.24,156,0.000943,0.130821,0.434708,0.280908,424.845029,0.146965,0.005715,2440.0,2000.0,True,True,TP
blowaway-recording-lab-1782606147375.zip,1658417572790_ambient-quiet.wav,ambient-quiet,samsung,SM-G960F,29,16000,11.24,281,0.000683,0.000995,0.002533,0.050078,221.371199,0.076219,0.001495,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658417858145_ambient-quiet.wav,ambient-quiet,samsung,SM-G960F,29,16000,16.14,403,0.001626,0.003336,0.00863,0.032864,185.676595,0.041998,0.00036,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418424467_speech.wav,speech,samsung,SM-G960F,29,16000,10.88,272,0.00103,0.004325,0.012726,0.044601,265.143141,0.048437,0.001187,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418437628_speech.wav,speech,samsung,SM-G960F,29,16000,15.62,390,0.005155,0.013655,0.0358,0.059468,286.240305,0.030157,0.000897,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418467838_ambient-noisy.wav,ambient-noisy,samsung,SM-G960F,29,16000,17.76,444,0.000698,0.001185,0.003723,0.20266,658.743697,0.329907,0.023275,40.0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418493661_ambient-noisy.wav,ambient-noisy,samsung,SM-G960F,29,16000,20.0,500,0.002001,0.002699,0.009006,0.294992,1081.905773,0.444298,0.088978,0,0,False,True,FP
blowaway-recording-lab-1782606147375.zip,1658418526608_ambient-noisy.wav,ambient-noisy,samsung,SM-G960F,29,16000,18.84,471,0.000917,0.001073,0.003693,0.283255,969.832525,0.434537,0.060987,0,0,False,True,FP
blowaway-recording-lab-1782606147375.zip,1658418552986_speech.wav,speech,samsung,SM-G960F,29,16000,16.66,416,0.006093,0.01834,0.04512,0.082942,348.826565,0.047302,0.001551,200.0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418573592_ambient-noisy.wav,ambient-noisy,samsung,SM-G960F,29,16000,13.08,327,0.005318,0.020422,0.055737,0.219092,410.831151,0.089399,0.004578,400.0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418647612_blow-normal.wav,blow-normal,samsung,SM-G960F,29,16000,8.56,214,0.000708,0.001776,0.00419,0.035994,223.121266,0.109193,0.003259,0,0,True,False,FN
blowaway-recording-lab-1782606147375.zip,1658418658392_blow-close.wav,blow-close,samsung,SM-G960F,29,16000,7.04,176,0.000587,0.001577,0.004837,0.046948,245.095683,0.098404,0.001942,0,0,True,False,FN
blowaway-recording-lab-1782606147375.zip,1658418667764_blow-far.wav,blow-far,samsung,SM-G960F,29,16000,8.82,220,0.000512,0.000856,0.002048,0.056338,293.830459,0.172307,0.005858,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418678154_blow-far.wav,blow-far,samsung,SM-G960F,29,16000,6.9,172,0.000595,0.001052,0.002194,0.071987,370.474212,0.235581,0.011649,0,0,False,False,TN
blowaway-recording-lab-1782606147375.zip,1658418686899_failed-blow.wav,failed-blow,samsung,SM-G960F,29,16000,4.96,124,0.008426,0.033467,0.087189,0.032081,202.895974,0.03402,0.001151,600.0,120.0,True,False,FN
blowaway-recording-lab-1782608483847.zip,1782608387727_ambient-noisy.wav,ambient-noisy,samsung,SM-G960F,29,16000,19.98,499,0.001817,0.004643,0.013159,0.13615,714.738178,0.231482,0.017535,0,0,False,False,TN
blowaway-recording-lab-1782608483847.zip,1782608426130_failed-blow.wav,failed-blow,samsung,SM-G960F,29,16000,1.24,31,0.000768,0.008062,0.025879,0.057903,299.112979,0.093999,0.00314,80.0,40.0,True,False,FN
