label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"correct-blow",-4,0,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000122,0.325000,697.461060,0.536101,0.000001,false,0.179140
"correct-blow",13,1,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000122,0.318750,922.428894,0.726928,0.000001,false,0.131765
"correct-blow",35,2,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000153,0.328125,993.495483,0.701321,0.000001,false,0.131765
"correct-blow",53,3,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000122,0.315625,592.204163,0.521175,0.000001,false,0.173903
"correct-blow",74,4,16000,false,0.000000,0.000000,0.000600,"ambient",0.000052,0.000153,0.340625,825.862793,0.680896,0.000001,false,0.131765
"correct-blow",91,5,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000153,0.331250,955.822144,0.691032,0.000001,false,0.118666
"correct-blow",111,6,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.340625,916.836304,0.620114,0.000001,false,0.122251
"correct-blow",131,7,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000122,0.318750,881.365723,0.661114,0.000001,false,0.150588
"correct-blow",151,8,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000122,0.375000,799.542786,0.597709,0.000001,false,0.112941
"correct-blow",174,9,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000122,0.356250,994.291748,0.615384,0.000001,false,0.131765
"correct-blow",191,10,16000,false,0.000000,0.000000,0.000600,"ambient",0.000049,0.000153,0.340625,1017.908997,0.760187,0.000001,false,0.131765
"correct-blow",211,11,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.343750,970.607910,0.558003,0.000001,false,0.122598
"correct-blow",231,12,16000,false,0.000000,0.000000,0.000600,"ambient",0.000052,0.000183,0.321875,737.993225,0.427384,0.000001,false,0.224157
"correct-blow",251,13,16000,false,0.000000,0.000000,0.000600,"ambient",0.000049,0.000122,0.337500,1137.028198,0.674039,0.000001,false,0.112941
"correct-blow",272,14,16000,false,0.000000,0.000000,0.000600,"ambient",0.000052,0.000153,0.365625,638.292175,0.320485,0.000001,false,0.250375
"correct-blow",293,15,16000,false,0.000000,0.000000,0.000600,"ambient",0.000053,0.000153,0.334375,706.528259,0.281717,0.000001,false,0.179735
"correct-blow",314,16,16000,false,0.000000,0.000000,0.000600,"ambient",0.000052,0.000122,0.284375,652.081604,0.385962,0.000001,false,0.254872
"correct-blow",332,17,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.340625,949.134583,0.569919,0.000001,false,0.136582
"correct-blow",357,18,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000122,0.331250,1128.602783,0.394704,0.000001,false,0.250215
"correct-blow",374,19,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000153,0.350000,1487.842163,0.667504,0.000001,false,0.112941
