label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"background-quiet",-22,0,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000153,0.306250,1121.314453,0.622690,0.000001,false,0.157923
"background-quiet",1,1,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000122,0.318750,905.710266,0.525998,0.000001,false,0.143002
"background-quiet",19,2,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.356250,926.721313,0.706640,0.000001,false,0.150588
"background-quiet",35,3,16000,false,0.000000,0.000000,0.000600,"ambient",0.000049,0.000153,0.328125,873.715515,0.601517,0.000001,false,0.140221
"background-quiet",57,4,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.303125,747.099915,0.588286,0.000001,false,0.138771
"background-quiet",75,5,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000183,0.303125,1071.185669,0.590693,0.000001,false,0.137110
"background-quiet",98,6,16000,false,0.000000,0.000000,0.000600,"ambient",0.000052,0.000183,0.365625,1066.573608,0.619240,0.000001,false,0.169937
"background-quiet",119,7,16000,false,0.000000,0.000000,0.000600,"ambient",0.000047,0.000153,0.343750,624.958130,0.489774,0.000001,false,0.203901
"background-quiet",138,8,16000,false,0.000000,0.000000,0.000600,"ambient",0.000049,0.000153,0.340625,1132.501587,0.465975,0.000001,false,0.173832
"background-quiet",158,9,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.300000,781.372803,0.436229,0.000001,false,0.175652
"background-quiet",179,10,16000,false,0.000000,0.000000,0.000600,"ambient",0.000051,0.000153,0.340625,1475.729614,0.537377,0.000001,false,0.094118
"background-quiet",198,11,16000,false,0.000000,0.000000,0.000600,"ambient",0.000048,0.000122,0.318750,1882.161377,0.597062,0.000001,false,0.131765
"background-quiet",215,12,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000153,0.318750,1307.884399,0.474987,0.000001,false,0.112941
"background-quiet",235,13,16000,false,0.000000,0.000000,0.000600,"ambient",0.000048,0.000153,0.287500,477.582733,0.377014,0.000001,false,0.224897
"background-quiet",264,14,16000,false,0.000000,0.000000,0.000600,"ambient",0.000048,0.000153,0.318750,1067.329590,0.367917,0.000001,false,0.206148
"background-quiet",276,15,16000,false,0.000000,0.000000,0.000600,"ambient",0.000048,0.000122,0.343750,1074.817261,0.781327,0.000001,false,0.112941
"background-quiet",295,16,16000,false,0.000000,0.000000,0.000600,"ambient",0.000050,0.000122,0.296875,938.727051,0.345971,0.000001,false,0.232205
