label,elapsedMillis,frameIndex,sampleRate,triggered,confidence,speechConfidence,noiseFloor,reason,rms,peak,zeroCrossingRate,spectralCentroid,spectralFlatness,frameEnergy,clipping,spectralTemplateScore
"random-audio",-16,0,16000,false,0.003500,0.000000,0.000611,"ambient",0.000651,0.001923,0.290625,194.052704,0.163880,0.000136,false,0.365084
"random-audio",4,1,16000,false,0.002870,0.000000,0.000607,"ambient",0.000555,0.001709,0.240625,387.493744,0.229666,0.000098,false,0.384239
"random-audio",23,2,16000,false,0.002353,0.000000,0.000611,"ambient",0.000673,0.002106,0.231250,311.614288,0.241111,0.000145,false,0.393773
"random-audio",43,3,16000,false,0.001930,0.000000,0.000611,"ambient",0.000600,0.001617,0.243750,170.121841,0.118481,0.000115,false,0.428710
"random-audio",63,4,16000,false,0.001582,0.000000,0.000607,"ambient",0.000559,0.001648,0.275000,419.100098,0.295039,0.000100,false,0.249615
"random-audio",83,5,16000,false,0.001298,0.000000,0.000611,"ambient",0.000674,0.001984,0.318750,333.968689,0.245880,0.000145,false,0.324633
"random-audio",103,6,16000,false,0.180908,0.354508,0.000611,"candidate: collecting",0.081059,0.350322,0.196875,1117.432739,0.007806,2.102557,false,0.174821
"random-audio",124,7,16000,false,0.214791,0.567773,0.000612,"candidate: collecting",0.189717,0.531022,0.121875,914.860229,0.024482,11.517661,false,0.205039
"random-audio",145,8,16000,false,0.282171,0.689970,0.000612,"candidate: collecting",0.157490,0.482711,0.106250,806.788269,0.017716,7.936983,false,0.196161
"random-audio",166,9,16000,false,0.338072,0.741179,0.000612,"candidate: collecting",0.079064,0.234565,0.109375,520.453003,0.017832,2.000362,false,0.273369
"random-audio",186,10,16000,false,0.385612,0.783228,0.000612,"candidate: collecting",0.043591,0.093326,0.040625,290.839874,0.005386,0.608063,false,0.550073
"random-audio",206,11,16000,false,0.422511,0.828880,0.000612,"candidate: collecting",0.030735,0.078463,0.050000,263.991577,0.018836,0.302286,false,0.658188
"random-audio",226,12,16000,false,0.448764,0.603840,0.000612,"candidate: collecting",0.012678,0.037935,0.128125,361.663239,0.086054,0.051437,false,0.488361
"random-audio",247,13,16000,false,0.466901,0.301099,0.000612,"candidate: collecting",0.003275,0.011353,0.362500,878.964233,0.380142,0.003433,false,0.166745
"random-audio",265,14,16000,false,0.474951,0.298848,0.000612,"candidate: collecting",0.004809,0.013459,0.262500,1159.762085,0.158848,0.007400,false,0.263114
"random-audio",286,15,16000,false,0.476008,0.322634,0.000612,"candidate: collecting",0.003111,0.014008,0.359375,1134.555542,0.100100,0.003096,false,0.331951
"random-audio",306,16,16000,false,0.468024,0.319826,0.000612,"candidate: spectral mismatch",0.001501,0.004151,0.384375,919.174316,0.284957,0.000721,false,0.269418
"random-audio",326,17,16000,false,0.457065,0.433708,0.000612,"candidate: spectral mismatch",0.002694,0.007447,0.225000,759.581970,0.035388,0.002322,false,0.372358
"random-audio",352,18,16000,false,0.446350,0.249209,0.000612,"candidate: spectral mismatch",0.008156,0.025971,0.434375,3054.374512,0.169303,0.021286,false,0.167800
"random-audio",370,19,16000,false,0.436496,0.266230,0.000612,"candidate: spectral mismatch",0.042267,0.147740,0.356250,1305.813843,0.148569,0.571681,false,0.089221
"random-audio",386,20,16000,false,0.428050,0.469486,0.000612,"candidate: spectral mismatch",0.069841,0.170354,0.231250,635.117310,0.017543,1.560875,false,0.399173
"random-audio",410,21,16000,false,0.422195,0.358019,0.000612,"candidate: spectral mismatch",0.054038,0.154332,0.256250,1082.298584,0.024731,0.934430,false,0.325273
"random-audio",433,22,16000,false,0.418724,0.473298,0.000612,"candidate: spectral mismatch",0.023292,0.065767,0.156250,286.915558,0.022791,0.173599,false,0.518895
"random-audio",451,23,16000,false,0.418694,0.923251,0.000612,"candidate: spectral mismatch",0.018299,0.034700,0.075000,266.589691,0.006385,0.107154,false,0.499487
"random-audio",473,24,16000,false,0.423902,0.886926,0.000612,"candidate: spectral mismatch",0.014653,0.045747,0.078125,210.050400,0.018900,0.068707,false,0.660888
"random-audio",489,25,16000,false,0.431064,0.931845,0.000612,"candidate: spectral mismatch",0.008231,0.025452,0.071875,280.287018,0.051399,0.021679,false,0.537386
"random-audio",510,26,16000,false,0.439283,0.234808,0.000612,"candidate: spectral mismatch",0.014853,0.072542,0.231250,1533.041992,0.217307,0.070591,false,0.382902
