archive,clip,label,expected_positive,predicted_positive,outcome,triggered,candidate_ms,longest_candidate_ms,best_rms,best_peak,best_zcr,best_flatness,reason
blowaway-recording-lab-1782606070941.zip,1782605752969_ambient-quiet.wav,ambient-quiet,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605773410_speech.wav,speech,False,True,FP,True,80.0,80.0,0.007013,0.026276,0.707355,0.172421,airflow
blowaway-recording-lab-1782606070941.zip,1782605793223_speech.wav,speech,False,False,TN,False,160.0,40.0,0.009398,0.038147,0.766823,0.363033,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605824383_ambient-noisy.wav,ambient-noisy,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605849845_ambient-noisy.wav,ambient-noisy,False,False,TN,False,40.0,40.0,0.003024,0.017151,0.378717,0.467695,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605880860_ambient-noisy.wav,ambient-noisy,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605909168_speech.wav,speech,False,False,TN,False,240.0,40.0,0.019683,0.069977,0.729264,0.260229,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605930550_ambient-noisy.wav,ambient-noisy,False,True,FP,True,120.0,80.0,0.028254,0.123932,0.713615,0.200576,airflow
blowaway-recording-lab-1782606070941.zip,1782605956239_blow-close.wav,blow-close,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605965032_blow-close.wav,blow-close,True,True,TP,True,360.0,320.0,0.023905,0.109253,0.583725,0.469598,airflow
blowaway-recording-lab-1782606070941.zip,1782605969288_blow-normal.wav,blow-normal,True,False,FN,False,80.0,40.0,0.009914,0.03894,0.295775,0.42815,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605976563_blow-normal.wav,blow-normal,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782605981189_blow-far.wav,blow-far,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782606053780_failed-blow.wav,failed-blow,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606070941.zip,1782606063167_failed-blow.wav,failed-blow,True,False,FN,False,80.0,40.0,0.008476,0.039429,0.446009,0.223421,candidate too short
blowaway-recording-lab-1782606147375.zip,1658417572790_ambient-quiet.wav,ambient-quiet,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658417858145_ambient-quiet.wav,ambient-quiet,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418424467_speech.wav,speech,False,False,TN,False,40.0,40.0,0.003623,0.012024,0.624413,0.446516,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418437628_speech.wav,speech,False,True,FP,True,240.0,80.0,0.003989,0.017578,0.716745,0.407724,airflow
blowaway-recording-lab-1782606147375.zip,1658418467838_ambient-noisy.wav,ambient-noisy,False,False,TN,False,40.0,40.0,0.020096,0.09375,0.176839,0.209689,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418493661_ambient-noisy.wav,ambient-noisy,False,True,FP,True,480.0,120.0,0.003359,0.010925,0.300469,0.655826,airflow
blowaway-recording-lab-1782606147375.zip,1658418526608_ambient-noisy.wav,ambient-noisy,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418552986_speech.wav,speech,False,True,FP,True,800.0,120.0,0.008993,0.036987,0.694836,0.708692,airflow
blowaway-recording-lab-1782606147375.zip,1658418573592_ambient-noisy.wav,ambient-noisy,False,True,FP,True,680.0,160.0,0.007814,0.029999,0.723005,0.695323,airflow
blowaway-recording-lab-1782606147375.zip,1658418647612_blow-normal.wav,blow-normal,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418658392_blow-close.wav,blow-close,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418667764_blow-far.wav,blow-far,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418678154_blow-far.wav,blow-far,False,False,TN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782606147375.zip,1658418686899_failed-blow.wav,failed-blow,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782608483847.zip,1782608387727_ambient-noisy.wav,ambient-noisy,False,False,TN,False,200.0,40.0,0.004573,0.013977,0.350548,0.517599,candidate too short
blowaway-recording-lab-1782608483847.zip,1782608426130_failed-blow.wav,failed-blow,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782608483847.zip,1782608432269_failed-blow.wav,failed-blow,True,True,TP,True,560.0,200.0,0.080869,0.419464,0.707355,0.586267,airflow
blowaway-recording-lab-1782608483847.zip,1782608436951_failed-blow.wav,failed-blow,True,True,TP,True,600.0,320.0,0.006658,0.031189,0.513302,0.783548,airflow
blowaway-recording-lab-1782608483847.zip,1782608441920_failed-blow.wav,failed-blow,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
blowaway-recording-lab-1782608483847.zip,1782608453936_failed-blow.wav,failed-blow,True,False,FN,False,0.0,0.0,0.0,0.0,0.0,0.0,candidate too short
