source_wav,records\1782605969288_blow-normal\1782605969288_blow-normal.wav
sample_rate_hz,16000
window_size_samples,2048
window_duration_ms,128.0
search_radius_ms,120.0
requested_times_s,2.10000;3.56000;4.75000
peak_times_s,2.11587;3.54844;4.70981

frequency_hz,blow_1_requested_2.10s_peak_2.11587s_dbfs,blow_2_requested_3.56s_peak_3.54844s_dbfs,blow_3_requested_4.75s_peak_4.70981s_dbfs,mean_dbfs
0.000000,-46.876042,-65.637238,-73.342778,-61.952019
7.812500,-49.817042,-63.937702,-75.458466,-63.071070
15.625000,-55.695150,-66.152793,-74.242636,-65.363527
23.437500,-62.744239,-61.708741,-67.131971,-63.861650
31.250000,-62.550560,-57.679995,-63.865715,-61.365423
39.062500,-46.310882,-61.729111,-64.315544,-57.451846
46.875000,-47.235492,-60.550434,-65.721081,-57.835669
54.687500,-41.537273,-54.407849,-65.779912,-53.908345
62.500000,-35.726778,-49.167136,-65.458973,-50.117629
70.312500,-36.597643,-51.889605,-56.789661,-48.425636
78.125000,-39.234629,-53.234312,-53.573179,-48.680707
85.937500,-58.989734,-48.721259,-54.362369,-54.024454
93.750000,-32.870850,-44.130106,-55.608847,-44.203268
101.562500,-31.753115,-46.732187,-56.966236,-45.150513
109.375000,-40.742466,-45.813571,-60.398276,-48.984771
117.187500,-41.929849,-45.750140,-55.438517,-47.706169
125.000000,-32.877456,-42.408834,-52.007714,-42.431335
132.812500,-32.727482,-42.412338,-51.026761,-42.055527
140.625000,-40.101268,-52.727944,-51.661340,-48.163517
148.437500,-44.269264,-47.195985,-51.514152,-47.659800
156.250000,-39.800817,-43.119519,-50.359322,-44.426553
164.062500,-37.454648,-43.133936,-49.349116,-43.312567
171.875000,-29.247506,-44.124257,-48.604962,-40.658908
179.687500,-28.961481,-45.586377,-49.399732,-41.315864
187.500000,-31.077434,-48.247425,-51.506462,-43.610440
195.312500,-28.122523,-75.217054,-51.953422,-51.764333
203.125000,-28.802200,-50.351550,-51.656051,-43.603267
210.937500,-29.347260,-47.639615,-53.630115,-43.538997
218.750000,-28.664540,-46.916620,-56.361194,-43.980785
226.562500,-28.631186,-50.676711,-57.840221,-45.716040
